Text,Label,Notes
"I found it to be pretty terrible mostly due to the script. The bad guys are perhaps the dumbest group of people to ever exist in film. How they managed to keep aliens a secret for so long is beyond belief. Then you have Bono’s daughter and her mother superior who show up as Spielberg’s take on religion instead if character. The film aims to be a two-handed between Margaret and Daniel but the film seemed to get tired of Daniel and his non-cinematic power. Which brings us to the plot of the movie. Aliens abuse two children and give them powers so that decades later they might get together to show the world that aliens exist. Okay, so maybe the aliens are dumber than the bad guys here. Why not, just show themselves to humanity?",reaction,
"I actually almost walked out after the bad guys use a combination of alien technology and top tier tech in their command center to track him down to the farm house and he just.... walks behind them because they're not looking and steals a car. They don't have drones or the slightest idea about how to secure and search perimeters yet they're responsible for covering up alien crashes? Then they just let them walk away later on because they're behind a rock. 

The actual alien disclosure bit was pretty good, and there was some nice ideas but the 80's style incompetent goons completely ruined the film. ",reaction,
"didn't enjoy it. It felt messy to me, like it was trying to say something really big but couldn't decide exactly what it was lol.

I didn't understand the obvious religious angle that was randomly thrown in. That all just felt really unnecessary and again like it was just trying to say something but idk what.

At times I was really bored, all the chases were just whatever to me because the suspension wasn't there, I never thought there was a chance they would be caught.

I basically checked out at the scene of Emily Blunt reading everyone's mind to get out of the hangar. That was goofy imo.",reaction,
"I thought the final 40 mins were great. But also those final 40 mins were given away during the trailers. And at that point I was so pissed off about everything else leading up to that point that anything emotional I just couldn’t connect with. Let alone Colin Firth just stopping as soon as he gets there. Then what’s the point of the last 2 hours? Just a lame thriller where everything works out to move the plot forward. Just a complete mess of a movie.

",reaction,
"Why the fuck did we need Emily Blunt leaping from the hood of a car being dragged by a train to do a one handed miracle grab to avoid another train.

Utter bullshit.

If this film had been treated like a tight thriller or even investigative piece it would’ve been so much better. It’s 2026 and this is a movie about government coverups, human(?) rights abuses, and knowledge that would change everything we know about our existence. Audiences have matured past (or maybe are too cynical for) goofy ass summer blockbuster antics like this movie’s action sequences.

Ffs Josh O’Connor’s character managed to super sneaky steal a car just feet away from dozens of agents, smash it into a bunch of trees surrounded by federal agents, then successfully make a getaway wherein a hypnotized woman in his back seat can’t slit his throat because a perfectly timed bump.

The guy would’ve been shot dead a dozen times before he got anywhere.

Spielberg’s films need to grow up.",reaction,
"It's baaaad. Soulless and flat, lacking anything resembling a vision. Characters without personality who exist only to spew trailer bait lines. We are bombarded endlessly with music and lens flares and camera movement and cuts, never afforded any time to breathe, despite very little actually happening, with a plot largely expressed through speeches about how important things are that fail to convince. A muddy tone that can't decide between pulpy adventure and high intellect, so ends up being neither. Overstuffed and overlong, a decent movie buried beneath abysmal character writing, poorly executed clichés, a generationally phoned in Colin Firth performance, an entirely unnecessary character and secondary plot involving Josh O'Connor, and mind numbing hyperstimulous cinematography and editing.

",reaction,"Borderline. Mentions technical elements (lens flares, editing, pacing) but does so as a generalized rant without citing specific scenes."
"Discussion on Young and Beautiful/Jeune et Jolie
I watched this film a while ago and found it very fascinating (and relatable) but I couldn’t find many people discussing the main character’s psyche online.

My personal view of WHY she does what she does, as a young woman (22) as well, is a mixture of self destruction, daddy issues, and “Lolita-complex” (for lack of better words?) let me try my best to explain what I mean.

I have these tendencies myself too (although I am not nor have I ever been a prostitute). I think she is firstly depressed and part of her depression is manifesting in self destructive tendencies. Also, clearly her father is absent and she has a strained relationship with her stepfather, so there are the daddy issues. And then what I mean by “Lolita-complex” can be very well translated by the Mitski song “liquid smooth” where she says:

I'm beautiful, I know 'cause it's the season
But what am I to do with all this beauty?
Biology, I am an organism
I'm chemical, that's all, that is all
I'm liquid smooth, come touch me too
And feel my skin is plump and full of life
I'm in my prime
I'm liquid smooth, come touch me too
I'm at my highest peak, I'm ripe
About to fall, capture me

Basically, I think a lot of young and beautiful girls feel like they are expiring. I feel this a lot. Each birthday feels like I’m aging out of my prime, like I’m closer and closer to hitting that invisible wall that women do when they’re no longer young. (Sad but that’s how society is. Let’s not argue about that here, that’s not the point.) So she feels a desperate need to “take advantage” of her youth and beauty right now before it’s gone, which is manifesting in her prostituting herself to older men.

I tried my best to word my thoughts here! I hope it’s understandable. Would love to hear other people’s input and if anyone could word it better than me. LOL",analysis,
"Watched this many years ago so don't remember crucial aspects of the plot, but I remember the ending being this moment of understanding between the wife of the client who dies and the protagonist. Probably a symbolism to a much needed mother figure or a older woman who could provide a perspective to her, that somehow, life will conform itself and her heart will calm down.

Now I kinda want watch other films with similar themes, like Thirteen (very high on my watchlist).",analysis,
"Possibly one of the worst takes of Obsession
BKD
So I ran into an article about the film Obsession and the headline immediately grabbed my attention.

“ Obsession is the GET OUT for White people”

I was taken aback by this because I just saw Obsession and not one time did Get Out cross my mind. Yes there’s the scene at the table where Nikki repeatedly says “NO NO NO” like the famous line in Get out but outside of that I don’t see the comparison.

Yet this author made it a point to basically say Obsession is a complete rip off. I don’t know if she’s being disingenuous or she’s not familiar with the cautionary tale of the monkeys paw or Aladdin. Basically “ be careful what you wish for”. But am I alone in thinking this is a horrible take on Obsession?

Btw, even though the author of this article made it about race let’s not make sweeping generalizations here. I would like a mature discourse on her take especially considering I’m Black myself and enjoyed the hell out of Obsession.

",reaction,
"The gag is, Obsession could’ve had something smart to say about patriarchy; about the ways that men are socialized to devalue women as autonomous people and how that can lead to pedestaling women without actually caring to see and know and love them as people. Bear didn’t “love” Nikki—he barely knew her. The “love” that he wished from her ended up being sick and twisted because it mirrored his own “love” for her: sick, twisted, self-serving, inconsiderate, narcissistic, fake, unconscious and deadly""

This was literally the movie, haha

Her thesis could make sense if she supported it with valid examples, but she's just drawing vague open-ended comparisons to situations that happen to be in the same room. By her argument, Get Out is a rip-off of any movie that has two entities in one body. ",analysis,"Complex. Uses thematic deconstruction (patriarchy, socialization) to counter another review, though it borders on personal interpretation rather than strict film evidence."
"Obsession isn’t smart. It isn’t layered. It isn’t nuanced. It isn’t commenting on centuries of oppression in an inventive way. 

It's true that Obsession isn't commenting on centuries of oppression. It's arguably commenting on 1000s of years of oppression, just not the oppression she's thinking of.

Anyway, the idea that Obsession is ripping off Get Out needs a hell of a lot more justification before it can be used as a stick to beat Obsession with.
",reaction,
"I think she is right that Get Out is a more thematically rich, accomplished film than Obsession, and probably Obsession is making more money because audiences don't flock to 'black' films like Get Out quite as readily. But that's it. The comparisons between the two movies are superficial and don't go past the point of homage, which Jordan Peele uses a LOT of in his own films (Nope in particular pilfered and mined many famous anime for imagery, including Evangelion and Akira). It seems like this person is an ideologue who was determined to make these sorts of criticisms as often as she can whenever she can before even seeing this particular film - it's just caught in the crossfire she is spraying.

Obsession is smaller scale in its ambition, but is incredibly effective and well done. It deserves its success. Plus Curry is much younger and earlier in his career - Peele's directorial debut was Get Out, but he had been a successful writer and actor in the industry for well over a decade at that point. So yeah the withering scorn in this essay seems like a projection from its writer, who is a malcontent determined to prosecute a particular perspective to its fullest whether her targets deserve it or not.


",analysis,"Complex. Analyzes the external context (box office, director's career stage, homages) rather than just the film's internal text."
"If the writer asked Jordan Peele he'd proudly tell them that he ripped off a whole mess of films. Maybe Curry Barker took the ""nonono"" scene from Get Out, maybe he took the whole premise. Horror movie plots are not so preciously unique.

Its not the premise of Get Out that struck a chord with people (especially since the marketing kept it hidden), its the execution, the brilliant foreshadowing throughout, the way in which it spoke to that particular time, the sly sense of humor. Reducing films down to one or two moments and comparing is the mark of an amateur.

I wouldnt concern yourself with some random review, it carries only slightly more weight than someone logging i to letterboxd. Even RT is useless until you hit the ""Top Critics"" tab, and even then you have to wade through a lot of bullshit.",reaction,
"Tokyo Godfather Movie Review
Tokyo Godfathers was absolutely perfect, in my opinion, it is one of the best Christmas movies ever. It’s such a gripping story packed into just an hour and a half, filled with so many twists and turns. All the characters in the movie were so well written, and the main trio was incredibly likeable.


​I was especially impressed by the depth given to the gay character, I didn't expect that at all, because in most movies, they are either portrayed as a joke or made completely unlikeable, but that wasn't the case here at all. The pacing was excellent, the director didn't waste a single second. The animation was also so fluid and high quality, and I really loved how the colors and shadows were used throughout the film. Every single scene contributed to the story and character development. The movie was heartwarming, funny, and emotional. For me, it was a solid 10/10.",analysis,
"I really love this film but I believe it's not being seen very favourably by the trans community. I understand the worries about it but I actually thought its portrayal of trans people was pretty good. But then I'm not trans so I'm not gonna be able to bring that experience.


",reaction,
"Seeing Jaws in a theatre for the fist time.
I'm very familiar with Spielberg's Jaws (1975) having seen it several times on tv. I consider it a master work of its genre (whatever that genre is?) So when I noticed a local cinema was showing a one off matinee I booked a ticket. It was a very sunny Friday afternoon and four people, including me, had turned up for the showing. Here are my takeaways from seeing Jaws on the big screen for the first time (things that were new to my experience of the film or that I hadn't fully appreciated before). This is going to be a bit of a flow of consciousness.

The biggest revelation was the many town scenes in the first half. I hadn't fully appreciated how masterfully constructed they are. Often extremely busy and chaotic, Spielberg exploits the full width of the frame to include fore, mid, and background, building layers of action. And somehow the careful choreography always leads the eye and the ear to the important information. It's technically brilliant, and at the same time has a very natural flow to it. It powerfully communicates the character of the town - an expert piece of world building. Knowing the story well (and so unable to experience the intense feelings of anxiety Spielberg provokes), these town scenes were the most engaging aspect of the film for me.

The ferry scene is a lesson in story telling. No joke - in the theatre this was my favourite scene in the film. It's when Brody hops on a ferry to travel across the bay and we meet the mayor and his fellow suits for the first time. For starters the scene is in one take - I'm not sure how long, possibly 2 minutes? The camera doesn't pan, it simply moves backwards once, and then again. Brody, the mayor and the two other men begin the scene filling the left half of the frame. As the camera moves the actors step towards it, but one stays behind each time so that by the second move only Brody and the mayor remain in the foreground. With each movement the actors end up closer to the camera and further into the centre of the frame. As the dialogue gets more serious, more coercive, more ominous, the blocking becomes closer, more intimate, more intense. All the while, as the movement of the scene remains linear, the sky and shore revolve around them - it's a straight line within a circle. On top of all this, the actors are required to time the scene to exactly coincide wth the departure of the ferry and its arrival on the other pier. They nail it (how many takes I wonder?). It's just a thrilling set piece, and an example of what an extraordinary energy and life Spielberg can bring to an otherwise perfunctory bit of story telling.

Robert Shaw is awesome. The cast of Jaws are all great, but in the theatre I saw Shaw's performance as Quint in a new light. He's magnetic, charismatic, and absolutely nails the salty old sea dog bit while never letting it slip into parody. He makes total sense of an arc that requires him to do random illogical things like smash up the radio or start singing during a shark attack. Amazing job.

The people who complain about the fake shark have a point. I'd always defended the shark in Jaws, claiming it was convincingly realistic throughout. In the theatre, not so much. Especially towards the end of the film, the shark grows increasingly rubber. In Spielberg's defence, by the time the shark goes full Jim Henson we're already so locked into the story our disbelief could be suspended to almost any ridiculous degree. I was sitting close to a woman who was clearly seeing the film for the first time, and believe me, the rubber shark did not detract from her engagement with it.

TLDR: Saw Jaws in a theatre. The 'town' scenes are amazing. The ferry scene is masterful and a highlight of the film. Robert Shaw is awesome. The shark is not very convincing towards the end.",analysis,
"I often feel that Carl Gottlieb doesn't get enough credit for the incredible adaptation he did of Benchleys book with the screenplay. I personally think Benchleys book is terrible for a number of reasons. But Carl's screenplay was masterful in what it leaves out, changes, distills. The combination of that writing with Spielbergs direction was truly beautiful. 


",analysis,"Borderline. Briefly mentions adaptation techniques (leaves out, changes, distills) but lacks specific examples from the text."
"The shark effect I assure you in its time was freaking terrifying. (Yes, I saw the film way, waaaaay back in the Stone Age when it was originally released... cough-old-fart-cough). Back then, unlike now, there was no instant access to real shark footage. For many of us, this was the very first time we saw a shark presented in such a way and... it really worked.

What I've always been fascinated about regarding this movie is the way it tightens the suspense slowly but surely.

We have 3 leads: The veteran shark hunter (Robert Shaw) whose whole life seems to be about capturing sharks. We, as the audience, feel confident he will surely capture the beast. We have the book-smart shark expert (Richard Dreyfuss). If Robert Shaw's Quint doesn't capture the beast, surely Dreyfuss' Hooper will figure out a way, using the latest technology, to capture and kill it.

And then there's Roy Scheider's Sheriff Brody. Presented in the story as a literal fish out of water (ha!), he is uncomfortable in his job here while determined to do what's right. By the end of the story, he states, as if we didn't know, how he used to hate the water...! If there's a character who we think has the least experience and chance of getting the beast, it's him.

So what the film does so freaking wonderfully is strip us first of the veteran shark hunter. Mentally, he's defeated when he tries to run back to shore, fleeing the shark while blowing the Orca's motor. A little bit later, he would be defeated a second time and gone. In between, Hooper tries his skills and is also defeated (and, for a little while, we fear he's dead as well).

Suddenly, the two people audiences felt would surely defeat the beast are gone and we're left with... the city guy. The one who doesn't know a damn thing about sharks. Who doesn't like the water. Who has to read up on sharks in his dining room to figure out what they're about.

It's a great bit of subtle storytelling which raises the tension so wonderfully for audiences as we enter the movie's climactic third act!",analysis,
"I have a whole private theory about Jaws I think about in the shower. The three men in the boat each stand for differing belief systems. There is the man of faith (Quint), the man of science (Hooper), and the pragmatic man of the people (Brody). The story of the second half if the film is about how these three respond to an existential threat. It's interesting to me the way their allegiances to each other shift throughout the story. Quint, the man of faith, begins aggressively opposed to Hooper, the man of science. He sides with the pragmatist, Brody, imagining that it's with him common ground can be found. But over their journey, this dynamic shifts. Quint bonds with Hooper, who, after all, has a belief system of his own, and then it's Brody who is the odd one out. Turns out faith and science have more in common than they thought; more with each other than either with the non-believing, practical, pragmatic everyman. But it's the everyman who ultimately saves the world. The man of faith is destroyed by his own fatalism, and the man of science, while allowed to survive, proves entirely ineffectual. the message is that man should come first, because man is the force that can save us. God and science are welcome on the boat, but man should be the captain.

",analysis,
"What's even more amazing about all the story telling with the camera you are mentioning, is that the this was accomplished while out on a REAL OCEAN. Most people don't understand how difficult that is and how completely unprecedented it was then and even now. The only movie to come close to this is Waterworld, and it 100 times the budget. There is a good reason why nobody shoots 100% on a real ocean. It's because it sucks, it's VERY difficult. Between this and Apocalypse Now, to me there are no other films that feel so real, because they WERE real. In both movies, there are virtually no ""effects"" (you can't even call the shark an effect because it was mechanical and technically ""real"" from a film perspective).

I also agree with how mesmerizing Shaw is in this role, the best performance of his life, and probably the best cast character of all time, I can't really think of a better one.

This movie, along with Star Wars are what I call perfect movies in terms of story telling. In a good story, you don't even notice the time passing, everything just flows so fluidly between acts and scenes, it has the perfect balance of plot development, action and ""dead space"" so you don't get overwhelmed.",analysis,Complex. Blends technical appreciation of the filmmaking process with strong personal reactions and subjective rankings.
"I watched this both on the anniversary release and as a young child of 7 on the initial release (the manageress of the local cinema was my grandmothers drinking buddy so we were allowed to watch the films from the disused balcony).

On first viewing as a child I did not have a bath for two weeks just in case....

What struck me on the rewatch on the big screen as well as all the other points mentioned was the shots when they are out on the boat.

It doesn't translate to the TV - but on the big screen the isolation and smallness of the boat and the three of them stuck out on the chase (which soon turns round the roles of predator and prey) really hits home.

In some shots the boat looks absolutely tiny.",reaction,Borderline. Focuses heavily on personal viewing experience but includes specific observations about shot composition and its emotional effect.
"Dreams and the Blindspots of Privilege
Dreams received largely negative reviews, in part because criticism of affluent, progressive liberal culture rarely plays well in mainstream media. However, I believe many critics are missing the film’s central point. Jennifer is not portrayed as a benevolent victim. She is manipulative, self absorbed, and ultimately destructive. While Fernando’s behavior becomes increasingly abusive and unacceptable, the film suggests that much of his conduct is an attempt to force Jennifer to experience the powerlessness and dehumanization that he feels she has inflicted upon him.
What makes the story interesting is that Jennifer never recognizes her own role in the dynamic. She sees herself as compassionate, enlightened, and morally superior, yet she is blind to the ways in which she objectifies the very people she claims to champion. The film appears to critique a form of privileged paternalism in which marginalized people are elevated as symbols of virtue rather than treated as fully realized individuals. In this worldview, helping others can become less about genuine empathy and more about reinforcing one’s own sense of moral righteousness.
The broader message is that wealth and privilege can insulate people from the consequences of their actions, allowing them to view themselves as heroic benefactors while remaining oblivious to the harm they cause. Those who challenge that narrative are often dismissed, ostracized, or portrayed as the problem. To me, Dreams succeeds because it confronts these contradictions directly. In that sense, it reminded me of Get Out, not because the stories are identical, but because both films expose the uncomfortable gap between how certain people see themselves and how their behavior is experienced by those around them.




",analysis,
"The loss of hapticness in modern cinema
TM
Modern cinema irritates me deeply. It’s not like we are not seeing great cinema still, of course we are, and many filmmakers understand how to use the language of modern cinema perfectly but the surplus of digital aesthetics and technological advancements has produced a landscape of films that have more in common with video than film. The loss of textures, practicality and fetishisation of pristine image quality has produced a landscape of quickly produced content.

A bad film in the past still involved skill and effort- decision had to be made on set, everything was heavier, more expensive and not as flexible as nowadays. Effects were done in camera, there wasn’t this massive sentiment to fix it in post.

There are a few filmmakers that know how to use digital technology perfectly- Miller, Cameron, Mann, Iñárritu, Lav Diaz and it’s not the technology itself but the over-reliance on not committing to decisions and wanting everything to be decided later.

The great modern filmmakers understand this and that’s why they prefer shooting analog, it gives the image a certain tactility, hapticness, roughness. This has been widely spread by filmmakers such as Spielberg, Nolan, Tarantino, Scorsese, Baker, Safdie Brothers, Chazelle, Eggers. These filmmakers are not only successful because they make great movies, but because they put a lot on emphasis on the image itself. Each frame of these directors has a quality that feels timeless.

I can only say one has to look no further and compare (if we want to stick in the realm of blockbuster cinema) the Raimi Spider Man movies with the recent Spider Man by Tom Holland which looks incredibly fake.

Or compare modern digital Ridley Scott to analog pre 2010 Scott. A film like 1492 which is not a great film, would never ever look this good nowadays in the hands of modern Scott who basically lost any interest in creating impressive images. I mean, Gladiator 2 looked so much worse than the first one in every conceivable way, and his DP explained why. Digital made him lazy. Too many cameras, too much shooting simultaneously, too many options.

An arthouse example would be Almodovar - his newest output looks like a commercial compared to 10-20 years ago. I was baffled at images of The Room Next Door.

It’s hard to find an example of filmmakers who improved by switching to digital cinematography. It’s very hard for me to find any examples. Lucas and Rodriguez who embraced digital, simultaneously sacrificed their craft for technology. Their pre-digital movies look so much more cinematic and beautiful.

I know that there is nothing to change as new filmmakers will keep embracing the efficiency and freedom of digital technology- but speaking from
the aesthetic beauty and impact of a an image, I hope more filmmakers will see analog film as the way to go.

",analysis,Complex. Begins with a strong subjective opinion but supports it with a detailed historical and technical comparison of analog vs. digital cinematography.
"Speed Racer wouldn't exist as a non-digital film. Part of Tár's appeal is the clinical digital look, especially at venues. Silent Twins looks incredibly well, ""cinematic"", and it's a fully digital feature. Pogorzelski shoots digital, and his films are very tactile.


",reaction,
"100% agreed on all of those examples, especially Speed Racer.

And to counter an example from OP's post, Rodriguez: Sin City would never have been made without digital, and imo is Rodriguez's most visually stunning film. Could you make a black and white analog version of it? Sure. Would it have the same ripped from the pages of the comics look and feel? I don't think so.

And to your point about Tar's look being part of its appeal, there's something similar going on with Twin Peaks: The Return where the modern digital visuals being in stark contrast to the warm, soapy visuals of the original show + film is used to great effect. Lynch in general was a big fan of digital.",reaction,
"It’s amazing how much more I enjoy even bad films from the analog film age. I will sit through a crappy movie from the 90s or early 2000s simply because they are so rich with warmth, color, and texture. It’s pleasing to look at and I don’t mind what’s happening as much with the story.

I truly despise the digital age of movie making. I really wish movies were held to a higher standard and had to be shot on film. I know that’s ridiculous and wasn’t ever going to be the case, but I really miss them.


Нравится
15

Не нравится

Ответить
",reaction,
"I wouldn't go as far as saying I despise the digital age of film, but I do agree that even low budget schlock from the 20th century had a better texture to it. I just watched one called Nightmare Sisters, real Cormanesque shit. But it has colored lights, some odd set design and a texture to the image that endeared me to it.

a few days ago I watched the first Basket Case. there's a character who, for some reason, the decor in her room is entirely smiley face themed. the movie never calls attention to it, but I couldn't look away from it. you just don't get stuff like that with low-effort greenscreens or sets built like houses that look fresh off of Zillow.",reaction,
"I agree. Everything is too clean. Makeup artists do their job too well. Wardrobe as well. Continuity people. It is all too perfect. Not a hair out of place.

You look at an old spaghetti western on the other hand, people are filthy and sweaty. Exactly what it would be like in the real west. Hard to mimic that I guess without filming on location under real sweat like a pig conditions, which most actors probably won't tolerate anymore.

Another peeve of mine is wide open aperture shooting that high shutter speed digital has afforded. I like f8. I like having everything in focus. My eyes naturally focus on what the framing is leading me to focus on if it is actually framed well. I don't need this extra helping hand. that sort of shooting is giving ""i just got a dslr and am obsessed with bokeh in these close up flower pictures.""",reaction,"Borderline. Primarily a subjective complaint about modern aesthetics, but references specific technical details like wide open aperture and f8."
"Thomas Flight was actually talking about this in his latest video from an editing perspective. The thesis is that many editors nowadays are using what is being called ""blender cutting"". That is: instead of carefully designing and planning a shot before the shooting starts, many productions simply use a ton of cameras filming a scene simultaneously. Then, a sequence is constructed in the editing room by picking bits and pieces of every camera recording (in other words, effectively throwing images into a metaphorical blender and setting with whatever is left afterwards). This clearly saves a lot of time. If an angle looks bad, you use another. No need to shoot again. But of course this comes at a giant artistic cost, since a lot of the intentionality that comes with careful planning is simply lost. Many times, editors and directors won't have a single clue about how the scene is even supposed to look like before getting into the cutting room.


",analysis,
